Adelieland	75	139
Afrika
Afrika	7.18805552	21.09361076
Amerika
Antarktis
Äquatorialafrika
Arabien	24	45
Arktis
Asien
Europa	50	20
Himalaya	28	87
Hinterindien	14.22	101.86
Iberoamerika;Hispanoamerika;Lateinamerika
Indischer Subkontinent
Karibik	14.52999973	-75.81999969
Kleinasien	39	33
Levante
Maghreb	30	5
Maschrek;Maschrik;Maschriq
Melanesien	9	160
Mesopotamien	33.7	43.5
Mikronesien
Mittelmeerraum	35	18
Mittlerer Osten
Morgenland;Orient
Naher Osten	32.8	35.6
Neuschwabenland	72	5
Nordafrika
Nordamerika
Ostafrika
Ostasien
Ozeanien
Patagonien
Polynesien
Südamerika	-13	-59.4
Südasien	26.9	72.2
Südostasien	12	105.1
Tatarei
Vorderasien
Vorderindien
Westafrika
Zentralamerika
Zentralarabien
Zentralasien	45.3	63.9
