Althart,Staré Hobzí,49.00972222,15.45638889
Alt Hart,Staré Hobzí,49.00972222,15.45638889
Alt Harzdorf,Starý Harcov,50.778333,15.106667
Altheide,Sierakowo,,
Althof,Petrykozy,,
Althorst,Podlesie,,
Alt Järshagen,Stary Jarosław,54.40111111,16.55083333
Alt Jugelow,Gogolewo,,
Alt Kammer,Stará Komora,,
Altkarber Berge,Kawki,,
Altkarbe,Stare Kurowo,52.85,15.65
Altkinsberg,Starý Hrozňatov; Starý Hroznatov,,
Alt Kinsberg,Starý Kinšperk,,
Altklücken,Stary Klukom,53.11666667,15.43333333
Alt Konstantin,Starokonstantinov,,
Alt Krakow,Stary Kraków,54.43861111,16.61611111
Altkremnitz,Stará Kremnička,48.6,18.9
Alt Kuddezow,Chudaczewo,54.47805556,16.64972222
Alt Kugelwitz,Kowalewice,,
Altlangendorf,Dlouhá Ves,,
Alt Langendorf,Janovice,49.61833333,18.41166667
Alt Langwasser,Nová Dlouhá Voda,,
Altleipa,Stará Lípa,50.6838889,14.5566667
Alt Letz,Stari Lec,45.28361111,20.95777778
Alt Libbehne,Lubiana Pyrzycka,,
Alt Lietzegöricke,Stare Łysogórki,52.78333333,14.28333333
Altlomnitz,Stara Łomnica,50.35111111,16.59138889
Altlublau,Stará Ľubovňa,49.30944444,20.67888889
Alt Lublitz,Staré Lublice,,
Alt Lülfitz,Lulewice,54.04666667,15.95
Alt Marrin,Mierzyn,,
Altmiawa,Stará Myjava,48.7925,17.59277778
Alt Mohrau,Stara Morawa,50.28333282,16.88333321
Alt Moletein,Starý Moletín,,
Alt-Morawitza,Moravica,,
Alt Neisbach,Potoczek,,
Altoderberg,Starý Bohumín,49.91847229,18.33222198
Altofen,Óbuda,47.55,19.03333333
Alt Ossegg,Osek,50.6225,13.685833
Alt Paalow,Pałowo,54.44111111,16.80888889
Altpaka,Stará Paka,50.50833333,15.49388889
Alt-Palanka,Banatska Palanka,44.845,21.33138889
Alt Parisau,Starý Pařezov,49.4722222,12.8405556
Alt Passarge,Stara Pasłęka,54.43194444,19.77388889
Alt Paulsdorf,Staré Pavlovice,50.788333,15.045556
Alt Petrein,Starý Petřín,48.89222222,15.71805556
Altpilsen,Starý Plzenec,49.69777778,13.47361111
Altplatz,Plavsko,49.08444444,14.90722222
Alt Pocher,Starý Pochr,,
Altpocher,Stoupa,36.84416667,22.25966667
Alt Prachatitz,Staré Prachatice,49.0252778,14.0047222
Alt Prennet,Starý Spálenec,49.3563889,12.8930556
Alt Prilip,Stary Przylep,53.2,14.99027778
Alt Quetzin,Kukini,,
Alt Ragus,Cavtat,42.57944444,18.22083333
Alt Reblin,Reblino,54.42833333,16.915
Alt Ritzerow,Rycerzewo,52.808889,18.159444
Alt Rognitz,Starý Rokytník,50.5355556,15.9469444
Altrohlau,Stará Role,50.2447222,12.8325
Alt-Rosenheim,Stary Ružinov,,
Alt Rothwasser,Stará Červená Voda,50.34416667,17.19638889
Alt Rüdnitz,Stara Rudnica,52.83333333,14.2
Alt Sanskow,Zajączkowo,,
Altsarnow,Żarnowo,,
Alt Sattl,Staré Sedlo,,
Alt Schlage,Sława,51.88333333,16.08333333
Alt Schlawe,Sławsko,54.39527778,16.71111111
Alt-Schowe,Ravno Selo,45.45027778,19.61916667
Alt Sedlowitz,Starý Sedloňov,,
Alt-Siwatz,Sivac,45.7,19.38333333
Alt Spitzenberg,Nový Špičák,,
Altspitzenberg,Starý Špičák;Starý Spitzenberg,,
Alt Springe,Borowa,,
Altstett,Nowa Cerekwia,50.08333333,17.91666667
Alt Storkow,Storkowo,,
Altstuben,Dolná Štubňa,,
Alt Stüdnitz,Stara Studnica,53.38333333,15.95
Alt Tabor,Sezimovo Ústí;Sezimovo Usti,49.38527778,14.68444444
Alt Tessin,Troczyn,,
Alt Thein,Starý Týn,50.6069444,14.3283333
Alt Titschein,Starý Jičín,49.56666667,17.96666667
Alt Tramm,Stramnica,54.15416718,15.63972187
Altturn,Stará Turá,48.77666667,17.69611111
Altvatergebirge,Jeseníky,,
Alt Vogelseifen,Starý Vogelzejf,,
Altwalddorf,Stará Lesná,49.13333333,20.31666667
Altwaltersdorf,Stary Waliszów,50.32138889,16.67611111
Altwasser,Stary Zdrój,50.7786,16.2972
Altweistritz,Stara Bystrzyca,50.30305556,16.61388889
Alt Werder,Korzystno,54.145,15.51777778
Altweschke,Stara Baška,44.95,14.68333333
Altwilmsdorf,Stary Wielisław,50.38333333,16.56666667
Alt Zechsdorf,Staré Těchanovice,49.82277778,17.69138889
Alt Zedlisch,Staré Sedliště,49.74694443,12.70250034
Alt Zowen,Sowno,,
Alzenau,Olcnava,48.93333333,20.75
Amonsgrün,Úbočí,,
Amschelberg,Kosova Hora,49.65,14.48333333
Amselfeld,Kosovo Polje,42.63,21.12
Ancona,,,
Andelnach,Andelnans,47.6031,6.8694
Anderdorf,Hrochoť,48.66666667,19.31666667
Andersdorf,Ondřejov,49.904722,14.784167
Andreasberg,Ondřejov u Kaplice,,
Andrejewka,Andrijiwka,,
Angerburg,Węgorzewo;Wegorzewo,54.21666718,21.75
Angern,Bujanov,48.70166667,14.44805556
Anischau,Úněšov,49.89944444,13.16305556
Ankerholz,Przymiarki,,
Annadorf,Anenská Ves,50.2022222,12.5494444
Annapolier,Anenské Leštírny,,
Annashof,Dobrzyn,,
Annathal,Annín,,
Annenaue,Baranowice,,
Annenhof,Anin,52.218093,21.165601
Anschatingen,Anjoutey,47.7017,6.9331
Ansler,Anlier,,
Antibar,Bar,,
Antiegelhof,Antygl,,
Antiochia,Antakya,36.2,36.15
Antivari,,,
Antoniendorf,Cihelna,50.23027802,15.78194427
Antonienhof,Janíkov dvor,,
Antonifeld,Kapan,39.20111111,46.415
Antoniwald,Antonínov,50.7788887,15.2411108
Antoschowitz,Antošovice,,
Apatin,Apatin,45.66666667,18.98333333
Aprehant,Aparhant,46.33213,18.45254
Aquinkum,Aquincum,47.56416702,19.0494442
Arad,Arad,,
Arbe,,,
Arbei,Donja Bebrina,,
Arbesau,Varvažov,49.43888855,14.14249992
Archangelsk;Archangeľsk,,,
Arel,Arlon,49.68333333,5.81666667
Arensburg;Kingissepp,Kuressaare,58.25,22.48333333
Argenau,Gniewkowo,52.9,18.41666667
Arletzgrün,Arnoldov,50.36,12.9441667
Armenheide,Grzepnica,53.51472222,14.40333333
Arnau an der Elbe,Hostinné,50.54111111,15.72333333
Arnhausen,Lipie,,
Arnheim,Arnhem,51.98333333,5.91666667
Arnimswalde,Osiedle Załom,,
Arnoldsdorf,Jarantowice,,
Arnoldshof,Rokitno,,
Arnsberg,Gorzysław,,
Arnsdorf,Wilczkowo,,
Arnswalde,Choszczno,53.16666667,15.41666667
Artan,Rtina,44.3,15.28333333
Artholz,Artolec,49.0083333,15.1288889
Artiče,Artitsch bei Rann,,
Arys,Orzysz,53.80555556,21.94583333
Arzis,Arzys,,
Asang,Jasánky,48.61722183,14.05027771
Asch;Ascj,Aš,50.21666667,12.18333333
Aschchabad;Aschgabad;Aschgabat,,,
Aschendorf,Okřešice,49.25833333,15.85444444
Aschmeritz,Našiměřice,48.96527778,16.37305556
Asorn,Cerna,,
Assling,Jesenice,,
Asthorn,Osturňa,49.33333333,20.23333333
Athem,Athus,49.56333333,5.83777778
Athen,,,
Atrecht,Arras,50.29999,2.70214
Atschau,Vértesacsa,47.36885,18.57893
Atta,Áta,45.93631,18.29849
Attes,Zates,,
Au,Ava,,
Aucin,Ujčín,49.2858333,13.4208333
Audechen,Žalužice,,
Auern,Návary,48.9777778,15.2125
Aufzug,Lubiatów,,
Augstin,,,
Augusta,Lastovo,42.75,16.86666679
Augustendorf,Banyliw-Pidhirnyj,,
Augusthof,Jedlice,48.744762,14.799384
Augustin,Agostyán;Tata-Agostyán,,
Augustthal,Podlesie,,
Auhertschitz,Úherčice,49.91749954,15.68000031
Auhertz,Úherce,,
Aujest bei Kumburg,Kumbuský Újezd,,
Aujest beim Heiligenkreuz,Újezd u Svatého Kříže,49.86,13.56944444
Aujestel,Újezdec,,
Aujest,Újezd u Brna,49.10434722,16.75736944
Aujezd ob der Mies,Újezd nad Mží,,
Auras,Úraz,,
Aurinowes;Aurschinewes,Uhříněves;Praha-Uhříněves,50.031667,14.599167
Auscha,Úštěk,50.59333333,14.34861111
Ausche,Usza,51.133209,16.428693
Auschitz,Úžice,,
Auschowitz,Úšovice,49.9555556,12.7033333
Auschwitz,Oświęcim;Oswiecim,50.05,19.23333333
Ausowy,Úsobí,49.515,15.50111111
Auspitz,Hustopeče,48.94084722,16.73762222
Aussee,Úsov,49.7975,17.00805556
Aussenborn,Faymonville,50.40468979,6.13917017
Außergefild,Kvilda,49.01925,13.57957778
Aussig;Austen;Austie;Austy,Ústí nad Labem,50.65833333,14.04166667
Aussig,Ústí nad Labem,50.65833333,14.04166667
Austerlitz,Slavkov; Slavkov u Brna,49.15325556,16.87649167
Austern,Kvetoslavov,48.05833333,17.34166667
Autuschitz,Útušice,49.67833333,13.38583333
Auwal,Úvaly,50.07361111,14.73027778
Auxkallen,Wysoki Garb,54.2775,22.68027778
Baab,Báb;Kleinbaab;Großbaab,,
Baaje,Baja,46.1833333,18.9536111
Baar,Bár,46.05082,18.71562
Babbin,Babin,,
Babilon,Babylon,32.53638889,44.42083333
Babi Yar,Babin Jar,,
Baborin,Bavoryně,49.9,13.96666667
Babtschitz,Babčice,,
Bachern,Pohorje,46.53,15.47
Bachmannshof,Piastowo,,
Bachsdorf,Potôčky;Érfalu,49.20916748,21.71666718
Bachwitz-Erdmannsdorf,Rozwady,,
Bachwitz-Sophienthal,Zofiówka,,
Bachwitz,Wielołęka,,
Bäckenhain,Pekařka,50.8333333,14.9202778
Backofen;Bakow an der Iser,Bakov nad Jizerou,50.48230556,14.94148889
Bad Bartfeld,Bardejovské Kúpele,49.32986069,21.27043152
Bad Bielohrad,Lázně Bělohrad,50.4475,15.59777778
Bad Bochdanetsch,Lázně Bohdaneč,50.07444444,15.67888889
Bad Burnas,Lebediwka,,
Bad Eisenkappel,Zelezna Kapla,,
Badelhörne,Pięćmiechowo,54.32166667,16.39888889
Badenweiler,Badonviller,48.4978,6.89437
Baderwinkel,Pomezná,,
Badeseck,Bátaszék,46.19248,18.72258
Bad Flinsberg,Świeradów-Zdrój,50.9,15.33333333
"Bad Geltschberg,Geltschbad",,
Bad Karlsbrunn,Karlova Studánka,50.07416667,17.30277778
Bad Königsdorff-Jastrzemb,Jastrzębie-Zdrój,49.95,18.58333333
Bad Königswart,Lázně Kynžvart,50.01055556,12.62472222
Bad Kudowa;Chudoba,Kudowa Zdrój,,
Bad Landeck,Lądek-Zdrój,50.34361111,16.87972222
Bad Langenau,Długopole-Zdrój,50.24777778,16.63111111
Bad Lettin,Lázně Letiny,,
Bad Liebwerda,Libverda;Lázně Libverda,50.7693161,14.2370019
Bad Lindewiese,Lipová-lázně,50.22833252,17.14111137
Bad Liptsch,Liptovská Teplá,49.1,19.41666667
Bad Plattensee,Balatonfüred,46.95,17.88333333
Bad Polzin,Połczyn-Zdrój,53.76666667,16.1
Bad Radein,Radenci,46.65,16.05
Bad Rajetz,Rajecké Teplice,49.12527778,18.68222222
